Name,Phone,Hours,Rating,Address,URL
Sheer Rocks,+1 268-463-6161,"Sunday, 11:30 AM to 11 PM; Monday, 11:30 AM to 11 PM; Tuesday, 11:30 AM to 11 PM; Wednesday, 11:30 AM to 11 PM; Thursday, 11:30 AM to 11 PM; Friday, 11:30 AM to 11 PM; Saturday, 11:30 AM to 11 PM. Hide open hours for the week",4.4,"Ffryes Beach, Valley Road, St Johns, Antigua & Barbuda","https://www.google.com/maps/place/Sheer+Rocks/@17.0540913,-62.0470664,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12f2af5c1aa61f:0xdd93bfbec295f3ca!8m2!3d17.0540913!4d-61.8946311!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11b6svmhf0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Incanto,+1 268-789-4531,"Sunday, 12 to 10 PM; Monday, 12 to 10 PM; Tuesday, Closed; Wednesday, 12 to 10 PM; Thursday, 12 to 10 PM; Friday, 12 to 10 PM; Saturday, 12 to 10 PM. Hide open hours for the week",4.5,"Antigua Slipway, English Harbour, Antigua & Barbuda","https://www.google.com/maps/place/Incanto/@17.0068492,-61.9153498,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12eb0930c7e541:0x9f2e7f28e4407735!8m2!3d17.0068492!4d-61.7629145!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARJpdGFsaWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11g71c0cyn?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Aunty Cavell's Restaurant,+1 268-783-0384,"Sunday, 12 to 5 PM; Monday, Closed; Tuesday, 12 to 5 PM; Wednesday, 12 to 5 PM; Thursday, 12 to 5 PM; Friday, 12 to 5 PM; Saturday, 12 to 5 PM. Hide open hours for the week",4.8,"24Q4+VMH, Valley Rd, Urlings, Antigua & Barbuda","https://www.google.com/maps/place/Aunty+Cavell's+Restaurant/@17.0396823,-62.0457079,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12f3ae27685cd7:0xd3db0af02da528ff!8m2!3d17.0396823!4d-61.8932726!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11knl43cc1?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Loose Cannon Beach Bar,+1 268-729-1688,"Sunday, 10 AM to 8 PM; Monday, 12 to 6 PM; Tuesday, 2 to 11:30 PM; Wednesday, 12 to 6:30 PM; Thursday, 12 to 6:30 PM; Friday, 12 to 6:30 PM; Saturday, 10 AM to 8 PM. Hide open hours for the week",4.7,"Galleon Beach, English Harbour, Antigua & Barbuda","https://www.google.com/maps/place/Loose+Cannon+Beach+Bar/@17.0048771,-61.9115355,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12eba5234790dd:0x68b7cf4df887ec89!8m2!3d17.0048771!4d-61.7591002!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQ1iYXJfYW5kX2dyaWxs4AEA!16s%2Fg%2F11s97sf26c?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Al Porto,+1 268-562-7848,"Sunday, 12 to 11 PM; Monday, 12 to 11 PM; Tuesday, 12 to 11 PM; Wednesday, 12 to 11 PM; Thursday, 12 to 11 PM; Friday, 12 to 11 PM; Saturday, 12 to 11 PM. Hide open hours for the week",4.4,"North Finger, Jolly Harbour, Antigua & Barbuda","https://www.google.com/maps/place/Al+Porto/@17.0697862,-62.0361765,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c1292a91426cdd9:0xbbf912351819d301!8m2!3d17.0697862!4d-61.8837412!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11c5s6bhz9?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Wild Tamarind Restaurant Antigua,+1 268-736-7047,"Sunday, 7 AM to 10 PM; Monday, 7 AM to 10 PM; Tuesday, 7 AM to 10 PM; Wednesday, 7 AM to 10 PM; Thursday, 7 AM to 10 PM; Friday, 7 AM to 10 PM; Saturday, 7 AM to 10 PM. Hide open hours for the week",4.3,"Ffryes Beach, St Marys, Antigua & Barbuda","https://www.google.com/maps/place/Wild+Tamarind+Restaurant+Antigua/@17.0697862,-62.0361765,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12f3a23b00fddf:0xba541672bea072c0!8m2!3d17.0474319!4d-61.894787!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11k4nzlwz9?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Catherines Café,+1 268-463-6161,"Sunday, 10 AM to 5 PM; Monday, 10 AM to 5 PM; Tuesday, 10 AM to 5 PM; Wednesday, 10 AM to 8 PM; Thursday, 10 AM to 5 PM; Friday, 10 AM to 8 PM; Saturday, 10 AM to 5 PM. Hide open hours for the week",4.3,"Piccadilly, Antigua & Barbuda","https://www.google.com/maps/place/Catherines+Caf%C3%A9/@17.0087013,-61.9288063,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12eb07c0012663:0xf85f40b4cdad0414!8m2!3d17.0087013!4d-61.776371!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1ptzpz1kj?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Gina's Cook Shop,+1 268-725-0706,"Sunday, 6:30 AM to 9:06 PM; Monday, 6:30 AM to 9:06 PM; Tuesday, 6:30 AM to 9:06 PM; Wednesday, 6:30 AM to 9:06 PM; Thursday, 6:30 AM to 9:06 PM; Friday, 6:30 AM to 9:06 PM; Saturday, 6:30 AM to 9:06 PM. Hide open hours for the week",4.8,"Morris bay, Old Road, Antigua & Barbuda","https://www.google.com/maps/place/Gina's+Cook+Shop/@17.0087013,-61.9288063,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12edb24855edd9:0x8f0ce6a8a24a008f!8m2!3d17.0165738!4d-61.8435199!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h031yg5j?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Sweet-Ts,+1 268-770-1854,"Sunday, 11 AM to 10 PM; Monday, Closed; Tuesday, 11 AM to 10 PM; Wednesday, 11 AM to 10 PM; Thursday, 11 AM to 10 PM; Friday, 11 AM to 10 PM; Saturday, 11 AM to 10 PM. Hide open hours for the week",4.4,"26FG+J23, Piccadilly, Antigua & Barbuda","https://www.google.com/maps/place/Sweet-Ts/@17.0087013,-61.9288063,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12eb6a6aab8d3b:0xa0930b4cb7aae813!8m2!3d17.024!4d-61.7749583!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11c44qbb2l?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Sandra’s Island Fusion Restaurant,+1 268-463-9150,"Sunday, Closed; Monday, 8 AM to 8:30 PM; Tuesday, 8 AM to 8:30 PM; Wednesday, Closed; Thursday, 8 AM to 8:30 PM; Friday, 8 AM to 8:30 PM; Saturday, 8 AM to 8:30 PM. Hide open hours for the week",5,"Darkwoood ,St Mary's, W, Antigua & Barbuda","https://www.google.com/maps/place/Sandra%E2%80%99s+Island+Fusion+Restaurant/@17.0407136,-62.0420416,12z/data=!4m11!1m3!2m2!1srestaurants+in+Antigua+and+Barbuda!6e5!3m6!1s0x8c12f3e45b1b9291:0xceebc161472a7375!8m2!3d17.0407136!4d-61.8896063!15sCiJyZXN0YXVyYW50cyBpbiBBbnRpZ3VhIGFuZCBCYXJidWRhWiQiInJlc3RhdXJhbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11vdq9ts4v?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
