Name,Phone,Hours,Rating,Address,URL
"Mount St. John's Medical Centre","+1 268-484-2700","Saturday, 7 AM to 7 PM; Sunday, 7 AM to 7 PM; Monday, 7 AM to 7 PM; Tuesday, 7 AM to 7 PM; Wednesday, 7 AM to 7 PM; Thursday, 7 AM to 7 PM; Friday, 7 AM to 7 PM. Hide open hours for the week","2.8","4586+RCM, Michael's Mount, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Mount+St.+John's+Medical+Centre/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c1293b492cc6bb7:0xd5e8c44d8459e9ab!8m2!3d17.1170763!4d-61.8389376!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEObWVkaWNhbF9jZW50ZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUm5Oazl4Y21sUlJSQULgAQD6AQQIABAs!16s%2Fg%2F11b6gh7wvy?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Gambles Medical Centre","+1 268-562-7111","Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4 PM; Tuesday, 8 AM to 4 PM; Wednesday, Closed; Thursday, 8 AM to 4 PM; Friday, 8 AM to 4 PM. Hide open hours for the week","4.8","45H7+J97, Friars Hill Road, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Gambles+Medical+Centre/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c1293cdb6321001:0xffe74889016f61f0!8m2!3d17.1290476!4d-61.836582!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGGSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F11bzs1msxp?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Belmont Health Care Center - Belmont Clinic","+1 268-562-1343","Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours. Hide open hours for the week","1.7","35WJ+9R8, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Belmont+Health+Care+Center+-+Belmont+Clinic/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c12930ab89c8b19:0xa2044134436ded15!8m2!3d17.095917!4d-61.8179308!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGGSARBwcml2YXRlX2hvc3BpdGFs4AEA!16s%2Fg%2F11bbrm1thd?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Bowen Medical Urgent Care","+1 268-562-6705","Saturday, 7 AM to 12 PM; Sunday, Closed; Monday, 8 AM to 10 PM; Tuesday, 8 AM to 10 PM; Wednesday, 8 AM to 10 PM; Thursday, 8 AM to 10 PM; Friday, 8 AM to 10 PM. Hide open hours for the week","4.3","4 Village Walk Shopping Centre Friars Hill Road, Antigua & Barbuda","https://www.google.com/maps/place/Bowen+Medical+Urgent+Care/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c1293cec5ea82bf:0xbfc63a42d7c8f66a!8m2!3d17.1316031!4d-61.8358789!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgESdXJnZW50X2NhcmVfY2VudGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJJYlhKbVpUQm5SUkFC4AEA-gEECDkQQg!16s%2Fg%2F11k6flpk0f?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Winter's Medical Centre","+1 268-562-1977","Saturday, Closed; Sunday, Closed; Monday, 9 AM to 5 PM; Tuesday, 9 AM to 5 PM; Wednesday, 9 AM to 5 PM; Thursday, 9 AM to 5 PM; Friday, 9 AM to 5 PM. Hide open hours for the week","4.8","45M3+JM9, Fort Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Winter's+Medical+Centre/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c12922dc21187c3:0x5ddccddab2f5c947!8m2!3d17.1340324!4d-61.8457544!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEObWVkaWNhbF9jbGluaWOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxjMDVRWjNaQlJSQULgAQD6AQQIABAh!16s%2Fg%2F11cmpfz_gr?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Woods Urgent Care","+1 268-562-1160","Saturday, 8 AM to 4 PM; Sunday, 8 AM to 4 PM; Monday, 9 AM to 10 PM; Tuesday, 9 AM to 10 PM; Wednesday, 9 AM to 10 PM; Thursday, 9 AM to 10 PM; Friday, 9 AM to 10 PM. Hide open hours for the week","3.9","Woods Mall, Antigua & Barbuda","https://www.google.com/maps/place/Woods+Urgent+Care/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c1293a81f28d65d:0xb140daf2f9210f97!8m2!3d17.1301091!4d-61.8353823!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEWZW1lcmdlbmN5X2NhcmVfc2VydmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSVWN6ZGZUREpuUlJBQuABAPoBBAgAEDE!16s%2Fg%2F11qr1lp8d5?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Womens Clinic","+1 268-462-4133","Saturday, Closed; Sunday, Closed; Monday, 8:30 AM to 5 PM; Tuesday, 8:30 AM to 5 PM; Wednesday, 8:30 AM to 5 PM; Thursday, 8:30 AM to 5 PM; Friday, 8:30 AM to 5 PM. Hide open hours for the week","3.8","45G5+2F2, Deanery Lane, Saint John's, Antigua, and Barbuda, Antigua & Barbuda","https://www.google.com/maps/place/Womens+Clinic/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c129234c9a105d5:0x6549aba889b23308!8m2!3d17.1250069!4d-61.8413562!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEGZG9jdG9ymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJDTVhSNVFtbEJSUkFC4AEA-gEECCwQJQ!16s%2Fg%2F11gd1ws7dg?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Ephraim Medical Clinic","+1 268-562-9321","Saturday, 9 AM to 1 PM; Sunday, Closed; Monday, 9 AM to 5 PM; Tuesday, 9 AM to 5 PM; Wednesday, 9 AM to 5 PM; Thursday, 9 AM to 5 PM; Friday, 9 AM to 5 PM. Hide open hours for the week","4.3","American Road, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Ephraim+Medical+Clinic/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c12938a61ded92d:0x6f1731720a82dffe!8m2!3d17.1096368!4d-61.8320198!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEcb2JzdGV0cmljc19neW5lY29sb2d5X2NsaW5pY5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNeU55MXRkM2gzUlJBQuABAPoBBAh6EDw!16s%2Fg%2F11my4rz5_q?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Adelin Medical Centre","+1 268-462-0866","Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours. Hide open hours for the week","4.5","45P3+79R, Fort Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Adelin+Medical+Centre/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c12922c28da1099:0xba4fb24d10d6b02!8m2!3d17.1357299!4d-61.8465955!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGGSAQhob3NwaXRhbOABAA!16s%2Fg%2F1tf6sv9l?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Medical Specialist Clinic","+1 268-562-8270","Add hours","4.5","4595+RQC, Nevis St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Medical+Specialist+Clinic/@17.1182265,-61.8851044,13z/data=!4m10!1m2!2m1!1sdoctors+in+Antigua+and+Barbuda!3m6!1s0x8c1293b53421c719:0x34fc7e1dba53d7e4!8m2!3d17.1195661!4d-61.8406013!15sCh5kb2N0b3JzIGluIEFudGlndWEgYW5kIEJhcmJ1ZGFaICIeZG9jdG9ycyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEGZG9jdG9ymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ5TVdGcFFucG5SUkFC4AEA-gEECBYQGQ!16s%2Fg%2F11fxy284qb?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
