Name,Phone,Hours,Rating,Address,URL
Everyday Service Station,+1 268-562-8556,"Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours. Hide open hours for the week",4.2,"4596+528, Camacho Ave, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Everyday+Service+Station/@17.117919,-61.9161445,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c1293b5274089b7:0x56c20082ad98786c!8m2!3d17.117919!4d-61.8399268!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhWiQiImdhcyBzdGF0aW9uIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSAQtnYXNfc3RhdGlvbuABAA!16s%2Fg%2F11c37ln4sb?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
M & M Service Station,+1 268-481-5002,"Tuesday, Open 24 hours; Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours. Hide open hours for the week",3.4,"45FF+VP5, Piggotts, Antigua & Barbuda","https://www.google.com/maps/place/M+%26+M+Service+Station/@17.117919,-61.9161445,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c1293c42fae49fb:0x279e7606dbe81bd5!8m2!3d17.1246347!4d-61.8256554!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F1hf1h40ss?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Valley Road Service Station,+1 268-462-0425,"Tuesday, 6:30 AM to 9 PM; Wednesday, 6:30 AM to 9 PM; Thursday, 6:30 AM to 9 PM; Friday, 6:30 AM to 9 PM; Saturday, 6:30 AM to 9 PM; Sunday, 6:30 AM to 9 PM; Monday, 6:30 AM to 9 PM. Hide open hours for the week",4,"4584+99M, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Valley+Road+Service+Station/@17.117919,-61.9161445,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c12924c7e9bb649:0xe5fb7c48f2d8b0cb!8m2!3d17.1159535!4d-61.8440919!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F11fzbl37vp?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Midway Service Station,+1 268-463-1035,"Tuesday, 5:45 AM to 7 PM; Wednesday, 5:45 AM to 7 PM; Thursday, 5:45 AM to 7 PM; Friday, 5:45 AM to 7 PM; Saturday, 5:45 AM to 7 PM; Sunday, 5:45 AM to 7 PM; Monday, 5:45 AM to 7 PM. Hide open hours for the week",4.1,"All Saints Rd, Antigua & Barbuda","https://www.google.com/maps/place/Midway+Service+Station/@17.117919,-61.9161445,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c129365aac2e227:0x9c8164510f34539d!8m2!3d17.0801648!4d-61.8027547!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F1vqmkdn_?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
All Saint’s RUBIS,+1 268-562-0484,"Tuesday, 6:30 AM to 9:30 PM; Wednesday, 6:30 AM to 9:30 PM; Thursday, 6:30 AM to 9:30 PM; Friday, 6:30 AM to 10 PM; Saturday, 6:30 AM to 10 PM; Sunday, 6:30 AM to 9:30 PM; Monday, 6:30 AM to 9:30 PM. Hide open hours for the week",4,"All Saints, Antigua & Barbuda","https://www.google.com/maps/place/All+Saint%E2%80%99s+RUBIS/@17.117919,-61.9161445,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c129358906c05d3:0xf7d61efb55608b!8m2!3d17.0639943!4d-61.7947805!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F1hdz2x89t?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Frankies Gas Station,+1 268-463-4122,"Tuesday, 7 AM to 7 PM; Wednesday, 7 AM to 7 PM; Thursday, 7 AM to 7 PM; Friday, 7 AM to 7 PM; Saturday, 7 AM to 7 PM; Sunday, Closed; Monday, 7 AM to 7 PM. Hide open hours for the week",4.4,"Unnamed Road, Antigua & Barbuda","https://www.google.com/maps/place/Frankies+Gas+Station/@17.0636841,-61.8111845,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c129517b90ec603:0x27c8d392df47c637!8m2!3d17.0636841!4d-61.7349668!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F11cry2f1k2?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Golden Grove Service Station,+1 268-462-9179,"Tuesday, 6:30 AM to 6:30 PM; Wednesday, 6:30 AM to 6:30 PM; Thursday, 6:30 AM to 6:30 PM; Friday, 6:30 AM to 6:30 PM; Saturday, 6:30 AM to 6:30 PM; Sunday, 6:30 AM to 12 PM; Monday, 6:30 AM to 6:30 PM. Hide open hours for the week",3.8,"4525+QJ5, Valley Road, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Golden+Grove+Service+Station/@17.1018812,-61.9170933,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c1293aad32f23a9:0xd6ad090ce891d3dd!8m2!3d17.1018812!4d-61.8408756!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F1tfkxbtp?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Percival’s RUBIS,+1 268-462-1464,"Tuesday, 6 AM to 12 AM; Wednesday, 6 AM to 12 AM; Thursday, 6 AM to 12 AM; Friday, 6 AM to 12 AM; Saturday, 6 AM to 12 AM; Sunday, 6 AM to 12 AM; Monday, 6 AM to 12 AM. Hide open hours for the week",4.2,"Fort Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Percival%E2%80%99s+RUBIS/@17.1018812,-61.9170933,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c129232707da5cd:0xdcac6990d390b26b!8m2!3d17.1318835!4d-61.8445274!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F1vvyz3dc?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
E&E RUBIS,+1 268-562-3449,"Tuesday, 6 AM to 7 PM; Wednesday, 6 AM to 7 PM; Thursday, 6 AM to 7 PM; Friday, 6 AM to 7 PM; Saturday, Closed; Sunday, 6 AM to 7 PM; Monday, 6 AM to 7 PM. Hide open hours for the week",4.4,"Ebenezer, Antigua & Barbuda","https://www.google.com/maps/place/E%26E+RUBIS/@17.1018812,-61.9170933,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c1292e96290a6bb:0xdcda4c9facf507b3!8m2!3d17.0842823!4d-61.8584464!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F11c44qfb28?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Barnes Service Station,+1 268-462-3194,"Tuesday, 6 AM to 8 PM; Wednesday, 6 AM to 8 PM; Thursday, 6 AM to 8 PM; Friday, 6 AM to 8 PM; Saturday, 6 AM to 8 PM; Sunday, 6 AM to 8 PM; Monday, 6 AM to 8 PM. Hide open hours for the week",3.8,"46R3+24V, Osbourn, Antigua & Barbuda","https://www.google.com/maps/place/Barnes+Service+Station/@17.1018812,-61.9170933,13z/data=!4m11!1m3!2m2!1sgas+station+in+antigua+and+barbuda!6e2!3m6!1s0x8c129154607ae109:0x6b73babbe8fef4e9!8m2!3d17.1401182!4d-61.7971955!15sCiJnYXMgc3RhdGlvbiBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgELZ2FzX3N0YXRpb27gAQA!16s%2Fg%2F11c1r6px4r?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
