Name,Phone,Hours,Rating,Address,URL
Government Treasury,+1 268-468-9100,"Tuesday, 8:30 AM to 2 PM; Wednesday, 8:30 AM to 2 PM; Thursday, 8:30 AM to 2 PM; Friday, 8:30 AM to 2 PM; Saturday, Closed; Sunday, Closed; Monday, 8:30 AM to 2 PM. Hide open hours for the week",3.5,"45C5+5XV, High St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Government+Treasury/@17.1204907,-61.8781787,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293caaaeaa8c7:0xe2760380065bb18d!8m2!3d17.1204907!4d-61.8400699!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEWZGVwdF9vZl9zdGF0ZV90cmVhc3VyZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTGFDMWxOM05SUlJBQuABAPoBBAgAECw!16s%2Fg%2F1tptrnkv?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Labour Department Antigua and Barbuda,+1 268-462-4988,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",5,"45C3+VXF, Long and, Thames St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Labour+Department+Antigua+and+Barbuda/@17.1204907,-61.8781787,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293872bc46f23:0x23e785c3d23d2b30!8m2!3d17.1221751!4d-61.8450937!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11n73t1df4?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Department of Environment,+1 268-462-4625,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",4.2,"45C7+899, Saint John's Antigua, and Barbuda, Antigua & Barbuda","https://www.google.com/maps/place/Department+of+Environment/@17.1204907,-61.8781787,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293ca0b53d49f:0x986c8ce40d4ac9a0!8m2!3d17.1207964!4d-61.836512!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEYZW52aXJvbm1lbnRhbF9jb25zdWx0YW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU54ZFhWVFQySlJFQUXgAQD6AQQIABAe!16s%2Fg%2F11c1q9bmld?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Immigration office,+1 268-562-8755,"Tuesday, 8 AM to 3 PM; Wednesday, 8 AM to 3 PM; Thursday, 8 AM to 3 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 3 PM. Hide open hours for the week",4.3,"45C3+VXF, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Immigration+office/@17.1204907,-61.8781787,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1292358c644e07:0xc387dd24f49d2658!8m2!3d17.1221751!4d-61.8450937!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSASZpbW1pZ3JhdGlvbl9hbmRfbmF0dXJhbGl6YXRpb25fc2VydmljZeABAA!16s%2Fg%2F11dfq66xq0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Social Security Board,+1 268-736-3000,"Tuesday, 8 AM to 2 PM; Wednesday, 8 AM to 2 PM; Thursday, 8 AM to 2 PM; Friday, 8 AM to 2 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 2 PM. Hide open hours for the week",3.1,"45C5+QPR, Long St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Social+Security+Board/@17.1204907,-61.8781787,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293caafa9ee5b:0x958664b9a6e565a!8m2!3d17.1219863!4d-61.8407249!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARZzb2NpYWxfc2VjdXJpdHlfb2ZmaWNl4AEA!16s%2Fg%2F11g_8t9w7?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
"Department of Immigration, Headquarters",+1 268-562-1010,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",3.4,"LIAT Ltd Head Office, Sir George Walter Hwy, Osbourn, Antigua & Barbuda","https://www.google.com/maps/place/Department+of+Immigration,+Headquarters/@17.1369131,-61.8358287,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1291b715595cfd:0x63248a4793221dca!8m2!3d17.1369131!4d-61.7977199!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgEmaW1taWdyYXRpb25fYW5kX25hdHVyYWxpemF0aW9uX3NlcnZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXplbTgyTkVWUkVBReABAPoBBQjrERAn!16s%2Fg%2F11qvd63wf0?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Transport Board Inspection Centre,+1 268-481-4706,"Tuesday, 8 AM to 4 PM; Wednesday, 8 AM to 4 PM; Thursday, 8 AM to 4 PM; Friday, 8 AM to 2 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4 PM. Hide open hours for the week",4,"458W+679, Sir Sydney Walling Hwy, Piggotts, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Transport+Board+Inspection+Centre/@17.1369131,-61.8358287,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293f2cb299e4f:0x1a9508d5b2b19771!8m2!3d17.1155484!4d-61.8042678!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgERZ292ZXJubWVudF9vZmZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkhObVpxTjJkM1JSQULgAQD6AQQIABBL!16s%2Fg%2F1hd_vpk61?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Ministry of Health & Environment Headquarters,+1 268-462-5522,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 4:30 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",3.6,"45C3+PMW, High St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Ministry+of+Health+%26+Environment+Headquarters/@17.1218697,-61.8839034,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12924a8d897f23:0x18117868030e60bb!8m2!3d17.1218697!4d-61.8457946!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGFaLyItZ292ZXJubWVudCBkZXBhcnRtZW50cyBpbiBhbnRpZ3VhIGFuZCBiYXJidWRhkgERZ292ZXJubWVudF9vZmZpY2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnRhMlYxVGtGbkVBReABAPoBBQiHBxBB!16s%2Fg%2F11b6bqjn15?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua and Barbuda Bureau of Standards,+1 268-462-2424,"Tuesday, 8 AM to 4:30 PM; Wednesday, 8 AM to 4:30 PM; Thursday, 8 AM to 4:30 PM; Friday, 8 AM to 3 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4:30 PM. Hide open hours for the week",2.5,"P. O. Box 1550, Old Parham Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+and+Barbuda+Bureau+of+Standards/@17.1218697,-61.8839034,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c1293c8d8b22a27:0x53aee3550cfed04a!8m2!3d17.1241963!4d-61.83209!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARFnb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11b6_pkj2v?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
The Cultural Development Division - Antigua and Barbuda,+1 268-562-1726,"Tuesday, 8 AM to 4 PM; Wednesday, 8 AM to 4 PM; Thursday, 8 AM to 4 PM; Friday, 8 AM to 4 PM; Saturday, Closed; Sunday, Closed; Monday, 8 AM to 4 PM. Hide open hours for the week",N/A,"4594+X72, Nevis St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/The+Cultural+Development+Division+-+Antigua+and+Barbuda/@17.1218697,-61.8839034,14z/data=!4m10!1m2!2m1!1sgovernment+departments+in+antigua+and+barbuda!3m6!1s0x8c12924a5ba44925:0xc845b6c3ea64ba81!8m2!3d17.1198815!4d-61.8443654!15sCi1nb3Zlcm5tZW50IGRlcGFydG1lbnRzIGluIGFudGlndWEgYW5kIGJhcmJ1ZGGSARpkaXN0cmljdF9nb3Zlcm5tZW50X29mZmljZeABAA!16s%2Fg%2F11dxlcqg92?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
