Name,Phone,Hours,Rating,Address,URL
Kennedy's Enterprises Ltd,+1 268-481-1330,"Saturday, 7:30 AM to 6 PM; Sunday, 8 AM to 3 PM; Monday, 7:30 AM to 6 PM; Tuesday, 7:30 AM to 6 PM; Wednesday, 7:30 AM to 6 PM; Thursday, 7:30 AM to 6 PM; Friday, 7:30 AM to 6 PM. Hide open hours for the week",4,"All Saints Rd, Antigua & Barbuda","https://www.google.com/maps/place/Kennedy's+Enterprises+Ltd/@17.1044022,-61.8697778,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293a8d505aebd:0xb1c22729c594187!8m2!3d17.1034874!4d-61.8319165!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3Jl4AEA!16s%2Fg%2F11rvvzfmg?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
North Coast Hardware,+1 268-562-0932,"Saturday, 8 AM to 5 PM; Sunday, 8 AM to 4 PM; Monday, 7:30 AM to 5 PM; Tuesday, 7:30 AM to 5 PM; Wednesday, 7:30 AM to 5 PM; Thursday, 7:30 AM to 5 PM; Friday, 7:30 AM to 5 PM. Hide open hours for the week",4.3,"Blue Waters AG, Antigua & Barbuda","https://www.google.com/maps/place/North+Coast+Hardware/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c12916d43028d55:0x8fd4263212295808!8m2!3d17.1610279!4d-61.8283538!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3Jl4AEA!16s%2Fg%2F11c6ccn_vh?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
A&R Hardware,+1 268-562-3800,"Saturday, 7:30 AM to 3 PM; Sunday, 7:30 AM to 2 PM; Monday, 7:30 AM to 5 PM; Tuesday, 7:30 AM to 5 PM; Wednesday, 7:30 AM to 5 PM; Thursday, 7:30 AM to 5 PM; Friday, 7:30 AM to 5 PM. Hide open hours for the week",4.4,"All Saints Rd, Antigua & Barbuda","https://www.google.com/maps/place/A%26R+Hardware/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293f8f18055fd:0xdaef26bc78ca12b9!8m2!3d17.1080788!4d-61.8353318!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJDY0V0TGQycG5SUkFC4AEA-gEECAAQPQ!16s%2Fg%2F11lm7s83py?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Louis Hardware Depot,+1 268-562-3650,"Saturday, 7 AM to 6 PM; Sunday, 7 AM to 3 PM; Monday, 7 AM to 6 PM; Tuesday, 7 AM to 6 PM; Wednesday, 7 AM to 6 PM; Thursday, 7 AM to 6 PM; Friday, 7 AM to 6 PM. Hide open hours for the week",4.3,"45GG+3HF, Cassada Gardens, Antigua & Barbuda","https://www.google.com/maps/place/Louis+Hardware+Depot/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c129341692f34d7:0x9d133ef6f5cc2092!8m2!3d17.1251801!4d-61.8235661!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU01Y1ZCSGJVaFJFQUXgAQD6AQQIFBA2!16s%2Fg%2F11rnffd642?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Antigua Plumbing and Hardware,+1 268-462-0394,"Saturday, 8 AM to 1 PM; Sunday, Closed; Monday, 8 AM to 5 PM; Tuesday, 8 AM to 5 PM; Wednesday, 8 AM to 5 PM; Thursday, 8 AM to 5 PM; Friday, 8 AM to 5 PM. Hide open hours for the week",4.1,"4576+MJF, Camacho Ave, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Antigua+Plumbing+and+Hardware/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293b37312df4f:0x9756ecfbc2906289!8m2!3d17.1141838!4d-61.8384576!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3Jl4AEA!16s%2Fg%2F1th6fwt6?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Nunes Hardware,+1 268-462-0649,Add hours,4.3,"Cross St, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Nunes+Hardware/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293cab2c30301:0xd10f6367fbf46655!8m2!3d17.1219669!4d-61.8408709!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDGNvbnN0cnVjdGlvbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSGJXVkROVkZuRUFF4AEA-gEECAAQLA!16s%2Fg%2F1hd_plm28?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Louis Brothers,+1 268-562-6644,"Saturday, 8 AM to 6:30 PM; Sunday, 8 AM to 2 PM; Monday, 8 AM to 6:30 PM; Tuesday, 8 AM to 5:30 PM; Wednesday, 8 AM to 5:30 PM; Thursday, 8 AM to 5:30 PM; Friday, 8 AM to 5:30 PM. Hide open hours for the week",4.2,"45F8+J5J, Old Parham Rd, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Louis+Brothers/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293c9671f35c7:0x3231256189124a08!8m2!3d17.1240867!4d-61.8346076!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBEGhvbWVfZ29vZHNfc3RvcmXgAQA!16s%2Fg%2F11c1rsnm6w?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Legend Hardware Store,+1 268-562-9503,"Saturday, 7:30 AM to 5 PM; Sunday, Closed; Monday, 7:30 AM to 5 PM; Tuesday, 7:30 AM to 5 PM; Wednesday, 7:30 AM to 5 PM; Thursday, 7:30 AM to 5 PM; Friday, 7:30 AM to 5 PM. Hide open hours for the week",5,"45F3+3W6, St John's, Antigua & Barbuda","https://www.google.com/maps/place/Legend+Hardware+Store/@17.1610279,-61.9045715,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c12935f3da87f59:0x41e3c701fc59748c!8m2!3d17.1226502!4d-61.845228!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ0Y1V0SVdFbFJFQUXgAQD6AQQIABAX!16s%2Fg%2F11qn5cw3t5?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
FL hardware store,+1 268-780-8820,"Saturday, 7 AM to 6 PM; Sunday, 7 AM to 6 PM; Monday, 7 AM to 6 PM; Tuesday, 7 AM to 6 PM; Wednesday, 7 AM to 6 PM; Thursday, 7 AM to 6 PM; Friday, 7 AM to 6 PM. Hide open hours for the week",4.3,"35WJ+752 All Saints Road AG, Antigua & Barbuda","https://www.google.com/maps/place/FL+hardware+store/@17.0655695,-61.8732294,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c1293d5b72b2eb5:0x444e479b1c406f74!8m2!3d17.0655695!4d-61.7970117!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3JlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU0yY1habVZHdFJSUkFC4AEA-gEECAAQSQ!16s%2Fg%2F11fpl24cvc?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
F L Hardware,+1 268-780-8820,"Saturday, 7 AM to 6 PM; Sunday, 7 AM to 6 PM; Monday, 7 AM to 6 PM; Tuesday, 7 AM to 6 PM; Wednesday, 7 AM to 12 AM; Thursday, 12 to 6 AM, 7 AM to 6 PM; Friday, 7 AM to 6 PM. Hide open hours for the week",4,"Potters Village, Antigua & Barbuda","https://www.google.com/maps/place/F+L+Hardware/@17.0655695,-61.8732294,13z/data=!4m11!1m3!2m2!1shardware+stores+in+Antigua+and+Barbuda!6e6!3m6!1s0x8c12930abf701bcd:0xe2a69159a11851f3!8m2!3d17.0950306!4d-61.8187567!15sCiZoYXJkd2FyZSBzdG9yZXMgaW4gQW50aWd1YSBhbmQgQmFyYnVkYVooIiZoYXJkd2FyZSBzdG9yZXMgaW4gYW50aWd1YSBhbmQgYmFyYnVkYZIBDmhhcmR3YXJlX3N0b3Jl4AEA!16s%2Fg%2F11hb01f5yw?entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
